image,perturbation_type,original_caption,perturbed_caption,references,reference_count,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-L,CIDEr
2224995194_518859d97d.jpg,original,the rock climbers are on their equipment in front of a cave,the rock climbers are on their equipment in front of a cave,two people hang from safety ropes over a giant cliff ||| two people hanging on a rope over a cliff ||| two people lower themselves into a cave with long ropes ||| two people repel down into a hole,4,0.25,0.1507556722888818,0.06102612222351427,0.03986357128268015,0.18382352941176472,0.1904761904761905,0.1954816765450369
2224995194_518859d97d.jpg,hallucination,the rock climbers are on their equipment in front of a cave,the rock climbers are on their equipment in front of a cave with a helicopter,two people hang from safety ropes over a giant cliff ||| two people hanging on a rope over a cliff ||| two people lower themselves into a cave with long ropes ||| two people repel down into a hole,4,0.3333333333333333,0.21821789023599233,0.154150800490952,0.07432998184513635,0.24338624338624337,0.25,0.21555322995661103
3168123064_d1983b8f92.jpg,original,a person in a black wetsuit is surfing in the ocean with a wave coming down,a person in a black wetsuit is surfing in the ocean with a wave coming down,a person is surfing ||| a surfer in all black is riding a wave ||| a surfer rides the waves ||| a woman in a black wetsuit surfs in bad weather,4,0.6875,0.5244044240850758,0.3399472648478799,0.23446219441058622,0.606971153846154,0.5384615384615384,0.4194815323946246
3168123064_d1983b8f92.jpg,action_replacement,a person in a black wetsuit is surfing in the ocean with a wave coming down,a person in a black wetsuit is swimming in the ocean with a wave coming down,a person is surfing ||| a surfer in all black is riding a wave ||| a surfer rides the waves ||| a woman in a black wetsuit surfs in bad weather,4,0.625,0.45643546458763845,0.3098990471205467,0.2187405715612322,0.4395761741122566,0.4800000000000001,0.3767642516443602
3168123064_d1983b8f92.jpg,negation,a person in a black wetsuit is surfing in the ocean with a wave coming down,a person in a black wetsuit is not surfing in the ocean with a wave coming down,a person is surfing ||| a surfer in all black is riding a wave ||| a surfer rides the waves ||| a woman in a black wetsuit surfs in bad weather,4,0.6470588235294118,0.4496730838653134,0.29985468634200246,0.2094841271665114,0.5349990463475109,0.5185185185185185,0.3000837159699389
3168123064_d1983b8f92.jpg,hallucination,a person in a black wetsuit is surfing in the ocean with a wave coming down,a person in a black wetsuit is surfing in the ocean with a wave coming down with a helicopter,a person is surfing ||| a surfer in all black is riding a wave ||| a surfer rides the waves ||| a woman in a black wetsuit surfs in bad weather,4,0.5789473684210527,0.4392976851069795,0.2831606939029296,0.194086232706272,0.5738636363636362,0.48275862068965514,0.18034333365115232
2441629086_52f68eb316.jpg,original,a girl is peeking in a window,a girl is peeking in a window,a girl peers into a window ||| a girl peers into a window ||| a little girl is trying to look into a dark window ||| a small girl in a pink shirt and blue jeans is peeping through a window into a house,4,0.8571428571428571,0.7559289460184544,0.22524957608872123,0.13001186520687386,0.6147540983606558,0.6153846153846153,1.1623428902373536
2441629086_52f68eb316.jpg,person_replacement,a girl is peeking in a window,a boy is peeking in a window,a girl peers into a window ||| a girl peers into a window ||| a little girl is trying to look into a dark window ||| a small girl in a pink shirt and blue jeans is peeping through a window into a house,4,0.7142857142857143,0.48795003647426655,0.16823908657399744,0.10445522730720382,0.4189435336976321,0.4615384615384615,0.9105746183614055
2441629086_52f68eb316.jpg,negation,a girl is peeking in a window,a girl is not peeking in a window,a girl peers into a window ||| a girl peers into a window ||| a little girl is trying to look into a dark window ||| a small girl in a pink shirt and blue jeans is peeping through a window into a house,4,0.75,0.6546536707079771,0.1925856785554179,0.10932651139290935,0.6048387096774195,0.5714285714285715,0.9991008559981365
2441629086_52f68eb316.jpg,hallucination,a girl is peeking in a window,a girl is peeking in a window with a suitcase,a girl peers into a window ||| a girl peers into a window ||| a little girl is trying to look into a dark window ||| a small girl in a pink shirt and blue jeans is peeping through a window into a house,4,0.6333861926251716,0.5046941987886602,0.14229153467444675,0.07811823558239488,0.36700581395348836,0.5,0.8722628958661476
3279524184_d5e2ffbaed.jpg,original,two black and white dogs and one has something blue in its mouth,two black and white dogs and one has something blue in its mouth,two black and white dogs run through a field ||| two white dogs are running through a field ||| two white dogs run along a light colored field and one has a blue toy ||| two white dogs with black spots jumping through the grass,4,0.5276331810218101,0.4756021222025773,0.4131554120176103,0.3316186519505937,0.474468085106383,0.5,1.3106155193594815
